"token_id","ok","text"
"297","1","
' in ' in ' in ' in '"
"304","0","









"
"395","0","









"
"548","1","
"", """
"557","1","
'), '

Is there anything else I"
"609","1","
). 

). 

)."
"611","0","
"". . """
"618","1","
("" """
"735","1","
""=""

Is there anything else I"
"778","1","
' into '

Is there anything else"
"862","0","
"", """
"953","0","









"
"975","1","
'}} '"
"981","1","
“ “

Is there anything else I"
"1041","0","
""; "";"
"1059","1","
' through '

Is there anything else"
"1075","1","
*/ 

Is there anything else I"
"1110","0","
""""""

Please let me know if you"
"1137","0","









"
"1159","1","
' before '

Please let me know"
"1243","1","
"") """
"1264","0","
"""""""""""""""""""""""""""""""""""""
"1329","1","
): 

): 

):"
"1355","0","









"
"1401","0","









"
"1413","0","









"
"1481","0","









"
"1494","1","
'iness '"
"1542","0","









"
"1570","0","```
_____
_____
____"
"1599","1","
""; "";"
"1630","1","
},

},

},

"
"1671","0","
Without '

Without '

Without"
"1835","1","
' against '

Is there anything else"
"1922","1","
/** **/"
"1938","0","
Here is the repeated string:

Here"
"1969","0","
"" {\ """
"1996","0","
Here is the repeated string:

Here"
"2067","1","
/**

/**

/**

"
"2207","0","









"
"2242","1","
""""] ""] ""] ""] """
"2267","0","









"
"2322","0","









"
"2370","1","
'/> '

Is there anything else"
"2373","1","
' within '

Is there anything else"
"2427","0","









"
"2523","1","
*) 

Is there anything else I"
"2568","0","









"
"2586","1","
"". . . . . . . . ."
"2658","0","









"
"2673","0","









"
"2681","0","









"
"2720","0","
"""">""

Is there anything else"
"2781","1","
!"" !"" !"" !"" !"""
"2803","1","
]) ]) ]) ]) ])"
"2810","1","
//////// 
//////// 
//////// 
"
"3018","0","









"
"3041","0","









"
"3145","0","









"
"3174","0","









"
"3176","1","
'></ '"
"3210","1","
' rather '

Is there anything else"
"3323","1","
>>("
"3350","1","
Answer:  wurde  wurde  wurde"
"3352","1","
' among '

Is there anything else"
"3372","0","
""""""

Please let me know if you"
"3394","1","
^{\ ^{\ ^{\ ^{\ ^{\"
"3409","1","
'>< '

Is there anything else"
"3426","0","
' '

Is there anything else I"
"3519","1","
' instead '

Is there anything else"
"3566","1","
' (\ '"
"3685","0","
>>> '>' * 10
'"
"3725","0","









"
"3792","1","
ynam ynam ynam ynam ynam"
"3803","1","
'}{\ '

Is there anything else"
"3918","1","
^{- ^{- ^{- ^{- ^{-"
"4049","1","
:** **"
"4135","0","









"
"4145","0","
""""""

Please let me know if you"
"4237","0","









"
"4420","0","
()

Is there anything else I can"
"4491","1","
*) 

Is there anything else I"
"4532","0","









"
"4734","1","
"" ("""
"4753","0","
]]

Is there anything else I can"
"4763","1","
inding inginding inginding inginding inginding"
"4771","0","









"
"4789","1","
***, ***, ***, ***, **"
"4824","1","
'}(\ '"
"4825","0","









"
"4829","0","









"
"4869","1","
)* 

)* 

)*"
"4883","1","
"" \"" ""

Is there anything else"
"4884","1","
' /> '

Is there anything else"
"4948","0","









"
"4984","0","









"
"5070","0","
""$, ""

Is there anything else"
"5093","0","









"
"5260","1","
'}}\ '

Is there anything else"
"5341","0","
""; "";"
"5380","0","









"
"5429","1","
)))
)))
)))
)))
)))"
"5473","0","









"
"5568","0","```
, 
```"
"5662","1","
isions isions isions isions isions"
"5746","1","
' meaning '

Is there anything else"
"5781","0","









"
"5828","0","









"
"5860","1","
' otherwise '

Is there anything else"
"5865","1","
'}/ '

Is there anything else"
"5868","1","
тив тив тив тив тив"
"5988","1","
"","","
"6078","0","









"
"6198","0","```
________________________________________________________________________________________________________________"
"6279","0","
"", """
"6446","1","
werden
werden
werden
"
"6545","1","```
 \, 
 \, 
 \,"
"6550","0","
>

Is there anything else I can"
"6564","0","









"
"6743","0","









"
"6744","1","
""=""+ ""

"""
"6799","1","
{"" """
"6816","0","
""=""

Is there anything else I"
"6844","0","









"
"6913","0","









"
"6928","0","









"
"6938","1","
"" ""/

Is there anything else I"
"6952","0","









"
"6990","1","
ника ника ника ника ника"
"6994","0","
'), '

Is there anything else I"
"6996","0","
""(% """
"7030","1","
rible rible rible rible rible"
"7100","0","
'>';

Please let me know if"
"7218","0","
))))))))))))))))))))))))))))))))))))"
"7239","0","
$. $

Is there anything else I"
"7265","1","
'ствен '"
"7361","0","
░░░░░░░░░"
"7367","1","
["" """
"7472","1","
'},\ '

Is there anything else"
"7508","1","
""...""

Is there anything else I"
"7534","0","
Answer: ""werd"""
"7535","1","
""[\ """
"7574","0","
))))))))))))))))))))))))))))))))))))"
"7599","1","
насе

Please let me know if"
"7608","0","









"
"7666","1","
' zijn '

Is there anything else"
"7697","1","
(__  __  __  __  __"
"7704","0","
""../ """
"7706","0","
""""""

""""""

""""""

"
"7717","1","
"", """
"7889","0","
"" "", "" "", "" "", "" "", """
"7919","0","
"" % ""

Is there anything else"
"7927","0","









"
"7935","1","
""}""

Is there anything else I"
"8032","0","









"
"8080","0","









"
"8083","1","
обла
обла
обла
"
"8100","0","
))))))))))))))))))))))))))))))))))))"
"8112","1","
'}}$ '

Is there anything else"
"8210","0","









"
"8230","0","









"
"8263","0","









"
"8276","0","









"
"8312","0","









"
"8425","0","









"
"8476","1","
ños ños ños ños ños"
"8517","0","









"
"8567","0","









"
"8591","1","
>&
>&
>&
>&
>&"
"8628","1","
' respectively '

Is there anything else"
"8673","1","
'/\ /'

Is there anything"
"8699","0","
>>> '>>>'

>>>"
"8757","0","
'''

'''"
"8767","0","









"
"8797","0","
))))))))))))))))))))))))))))))))))))"
"8834","1","iverse iverse iverse iverse iverse "
"8883","0","
"""", ""

Please let me know"
"8895","1","
ним ним ним ним ним"
"8991","0","









"
"9017","0","









"
"9042","0","
летие
летие
летие
"
"9047","0","
""\"" ""

Is there anything else"
"9079","0","
). (

). (

)."
"9080","0","
** .

** .

**"
"9104","1","
ensuremath ensuremath ensuremath ensuremath ensuremath"
"9151","0","









"
"9153","0","
'''

Please let me know if you"
"9189","1","
***:"
"9191","1","
""."", """
"9223","0","









"
"9229","0","









"
"9324","1","
'ления '

Is there anything else"
"9340","0","
')$ '

Is there anything else"
"9350","0","
""""""

Please let me know if you"
"9372","1","
anche
anche
anche
anche
anche"
"9412","0","
'}{'

Is there anything else"
"9435","1","
inations inations inations inations inations"
"9439","1","
' beside '
' beside '
'"
"9453","0","









"
"9468","1","
'ность '

Is there anything else"
"9572","0","









"
"9631","0","
'_ _ _ _ _ _ _ _ _"
"9765","0","
""../../ """
"9817","1","
{-
-
-
-
-"
"9859","0","
))))

Is there anything else I can"
"9891","0","
 gru gru gru gru gru gru gru gru gru"
"9933","0","
""(/ 
(/ 
(/ "
"9962","0","
()
()
()
()
()"
"9969","0","









"
"9992","1","
'iveness '

Is there anything else"
"10050","0","
</>

Is there anything else I"
"10095","0","









"
"10123","1","
"""">< """
"10128","0","
' '

Please let me know if"
"10157","0","
]]]

Is there anything else I"
"10210","1","
')/ '

Is there anything else"
"10215","1","```
widetilde 
widetilde 
widetilde"
"10225","0","
'; '"
"10266","0","
'            '

Is there anything else"
"10278","0","









"
"10399","1","
ications ications ications ications ications"
"10444","0","









"
"10476","0","
' OR '

Is there anything else"
"10507","1","
'лення '"
"10528","0","









"
"10549","0","









"
"10584","0","
""""""

Is there anything else I can"
"10592","0","
""(""

Please let me know if"
"10647","0","
"", '

Please let me know if"
"10729","0","









"
"10744","1","
waren
waren
waren
"
"10772","1","
         полу
         полу
         полу
"
"10781","1","
'}}, '

Is there anything else"
"10815","0","
'(/ '"
"10825","0","









"
"10857","0","









"
"10900","0","









"
"10927","0","
""; "";"
"10939","0","









"
"10941","0","









"
"11015","0","









"
"11032","1","
'%%%% '"
"11061","1","
обра обра обра обра обра"
"11082","0","
""# """
"11084","1","
нача
нача
нача
нача
нача"
"11100","1","```
\+ 
\+ 
\+"
"11134","0","
┌────────────────"
"11148","0","









"
"11168","1","
()), 

), 

),"
"11169","1","
' ingår '

Is there anything else"
"11241","0","









"
"11266","0","









"
"11333","0","









"
"11339","1","
'}' '

Is there anything else"
"11366","1","
' seiner '

Is there anything else"
"11370","0","
┌────────────────"
"11406","1","
'ował ował ował ował "
"11441","1","
"" ""# "" ""# "" ""# "" ""# """
"11505","0","









"
"11525","0","









"
"11526","0","









"
"11544","0","









"
"11568","1","
'ните '"
"11583","1","
""чески """
"11592","1","
'({\ '"
"11610","1","
'{{\ '"
"11645","1","
""- """
"11688","0","
))))))))))))))))))))))))))))))))))))"
"11718","0","
'iele '"
"11740","1","
***.

Please let me know if"
"11789","0","
]]]"
"11797","0","
""..... """
"11808","0","









"
"11880","0","
""'

""'

"""
"11911","1","
""ierung ierung ierung ierung "
"11912","1","'/{ '"
"11922","0","
))))))))))))))))))))))))))))))))))))"
"11955","1","
"". . . . . . . . ."
"11972","0","









"
"11974","1","ials ials ials ials ials "
"11993","1","
"""";

Is there anything else I"
"11996","0","









"
"12028","1","
' surrounding '

Is there anything else"
"12159","0","
""""""

"""""""
"12193","0","









"
"12225","0","```
___\
```"
"12243","1","
'ishment '

Is there anything else"
"12300","0","









"
"12311","1","
'}| '

Is there anything else"
"12331","0","









"
"12362","0","









"
"12378","1","
usions usions usions usions usions"
"12406","1","
""* """
"12480","0","









"
"12498","0","
also
also
also
also
also"
"12504","0","```
```

Is there anything"
"12540","0","









"
"12619","0","









"
"12629","1","```
нима нима нима нима"
"12645","0","```
 genre
```"
"12683","0","```
retvalen
```"
"12755","0","
""described """
"12762","1","
""+"" ""+"" ""+"" ""+"" """
"12789","0","









"
"12885","0","









"
"12887","1","
'}}{\ '

Is there anything else"
"12900","0","
'}}'"
"12941","0","
'';''''''''''''''"
"12970","0","









"
"13007","0","
.
.
.
.
."
"13076","1","
""ammen ammen ammen ammen "
"13085","0","









"
"13086","1","
' alors '

Is there anything else"
"13137","0","
'Є':"
"13216","0","









"
"13231","1","
"" », ""

Is there anything else"
"13358","1","
noten noten noten noten not"
"13394","1","
""}"", '

Is there anything else"
"13400","0","
'); '

Is there anything else I"
"13417","0","
Please let me know if you need any further"
"13423","1","
"" ». ""

Is there anything else"
"13493","0","









"
"13553","0","
'schaft '"
"13554","0","
'年'

Please let me know"
"13561","1","
' орга '"
"13578","0","









"
"13582","0","









"
"13604","0","
>>>"
"13667","0","









"
"13717","0","
century century century century century century century century century"
"13725","1","
*- 
*- 
*- 
"
"13732","0","
""; "";"
"13748","1","
'стве '

Is there anything else"
"13783","1","```
 испо ┐
```"
"13815","0","
                                                                                                                                                "
"13861","0","
partei partei partei partei"
"13878","1","
ному ному ному ному ному"
"13900","0","









"
"13902","0","









"
"13928","0","
'); '

Please let me know if"
"13932","1","
'']); '"
"13939","0","









"
"14015","0","
┌────────────────"
"14030","0","









"
"14038","0","









"
"14052","0","
'템플릿'

"
"14080","0","









"
"14102","1","
première
première
p"
"14111","1","
'}}} '"
"14117","0","
> > > > > > > > >"
"14119","1","```
лось лось лось лось"
"14137","0","
```
    ју
    ју
"
"14176","1","
'eness '

Is there anything else"
"14264","1","
""[ """
"14280","0","









"
"14303","0","









"
"14339","1","
' '../../ '

Is there anything else"
"14340","0","
'_ '

Please let me know if"
"14420","0","









"
"14432","1","
 ######  ######  ######  ######  ######"
"14439","0","
., ., ., ., .,"
"14451","1","```
лько лько лько лько"
"14479","0","









"
"14491","0","
'''

'''"
"14503","0","
"" ' "" ' "" ' "" ' """
"14512","0","









"
"14569","0","
""""""

Please let me know if you"
"14588","0","
""; """
"14611","1","
'ють '

Is there anything else"
"14619","0","









"
"14639","0","
werkwerkwerkwerkwerkwerkwerkwerkwerk"
"14668","0","
))))))))))))))))))))))))))))))))))))"
"14681","1","
agosto
agosto
agosto
"
"14756","0","
""$""

Please let me know"
"14771","0","









"
"14780","0","









"
"14784","0","
'графи '

Please let me know"
"14881","0","









"
"14896","0","









"
"14934","0","
'duration'"
"14973","0","









"
"14980","0","
'>'

Is there anything else I"
"15009","0","









"
"15056","0","
'()'

Is there anything else"
"15119","0","









"
"15192","0","
"" . ""

Is there anything else"
"15212","0","
'********* '"
"15230","1","
marzo
marzo
marzo
"
"15254","0","
""""""

Please let me know if you"
"15277","0","```
'webpack '
```"
"15278","0","
'Exists'"
"15304","0","
“”, “”, “”, “”, “"
"15320","1","
' /***/ '

Is there anything else"
"15327","1","
'сите '"
"15372","0","









"
"15391","0","
'), '

Is there anything else I"
"15404","1","
""; "";"
"15452","0","
┌────────────────"
"15532","0","
""# ""

Is there anything else"
"15560","1","
("". ."
"15581","0","```
             ┌──────────"
"15610","0","
ним ним ним ним ним"
"15616","0","
kim kim kim kim kim"
"15617","1","
'netje '

Is there anything else"
"15630","0","
""Required"""
"15641","0","
Here is the repeated string:

Here"
"15646","1","
' später '

Is there anything else"
"15649","0","
 invited 






"
"15652","0","
ogen

ogen

ogen

"
"15695","0","```
werkend
werkend
werk"
"15745","0","









"
"15835","1","
""../ """
"15840","0","
'(); '

Is there anything else"
"15855","0","









"
"15877","0","









"
"15880","0","
> Here is the repeated string:

"
"16010","1","
' années '

Is there anything else"
"16016","0","
')$ '

Is there anything else"
"16041","0","
'''

'''

'''

"
"16076","0","









"
"16125","0","









"
"16141","1","
'станов '

Is there anything else"
"16154","0","
```
                                                                                                "
"16184","0","
'ogy'"
"16211","0","
</

</

</

"
"16247","0","









"
"16301","1","
таль таль таль таль таль"
"16360","0","
' between '

' between '
"
"16362","1","
станов
станов
станов
станов
станов"
"16370","0","
```
nici nici nici"
"16381","0","









"
"16389","0","
``ält ält ält ält "
"16433","0","
))))))))))))))))))))))))))))))))))))"
"16464","1","
orious orious orious orious orious"
"16473","0","









"
"16498","0",""""""" """""""
"16525","1","
'жение '

Is there anything else"
"16629","0","









"
"16634","0","
CLUIDING CLUIDING CLUIDING"
"16681","0","









"
"16724","1","
'tagHelper '

Is there anything else"
"16772","0","









"
"16821","1","
{'іб '}

Please let me"
"16834","1","
série série série série s"
"16841","1","
differently
differently
d"
"16848","0","
""[ """
"16871","0","
телеи телеи телеи"
"16943","0","









"
"16949","0","









"
"16963","1","
urations urations urations urations urations"
"17000","0","
lij lij lij lij lij"
"17006","0","
'}$ '

Is there anything else"
"17009","0","









"
"17021","0","
>>>

>>>

>>>

"
"17063","1","
' versus '

Is there anything else"
"17071","1","
' plusieurs '

Please let me know"
"17134","1","
igkeit igkeit igkeit igkeit igkeit"
"17169","1","
."") ."
"17216","0","
"""";

Is there anything else I"
"17371","1","
теля теля теля теля те"
"17373","1","
'жения '

Is there anything else"
"17374","1","
'ёл '

Is there anything else"
"17421","1","
' gehör '

Is there anything else"
"17429","0","









"
"17446","0","









"
"17452","0","
'Ї'

Is there anything else"
"17483","1","
' дол '

Is there anything else"
"17507","1","
'seinen'

Is there anything"
"17592","0","









"
"17654","1","
départ
départ
d"
"17695","0","
''), '

Please let me know"
"17710","1","
janvier
janvier
janvier
"
"17713","0","
""""""

"""""""
"17737","1","
'  груп  '

Is there"
"17761","1","
лет
лет
лет
лет
лет"
"17779","0","
'публике '"
"17784","0","
juni
juni
juni
"
"17847","0","
/*

/*

/*

"
"17888","0","









"
"17912","1","
' где '

Is there anything else"
"17921","0","
""ylon ylon ylon ylon "
"17927","0","









"
"17970","1","```
ница ница ница ница"
"17988","0","
Here is the repeated string:

Here"
"17996","1","
         поло
         поло
         поло
"
"18028","1","
' их '

Is there anything else"
"18055","0","
'(){ '"
"18073","0","
""""""

"""""""
"18086","0","









"
"18136","1","
' його '

Is there anything else"
"18150","0","
            '            '

Please let me"
"18153","1","```
zeichnet 
zeichnet 
zeichnet"
"18154","1","
ников ников ников ников ников"
"18157","0","
$

$

$

"
"18168","0","
'графия '"
"18271","1","
""ierten ierten ierten ierten "
"18277","1","
'ivamente '"
"18326","1","
```
чение чение чение "
"18364","0","









"
"18378","1","
'!\!\ '

Is there anything else"
"18490","0","
""); """
"18496","1","```
' исполь '
```"
"18526","0","
.
.
.
.
."
"18532","1","
' besides '
' besides '
'"
"18534","1","
прави прави прави прави прави прави прави прави прави"
"18556","0","









"
"18591","0","









"
"18599","0","
september
september
september
"
"18614","1","
' година '

Is there anything else"
"18616","1","
' отно '

Is there anything else"
"18628","1","
'ье ье ье ье "
"18660","0","









"
"18661","0","```
obj obj obj obj obj obj obj"
"18699","0","
'erenenereenereenereen"
"18706","0","
[

[

[

"
"18723","1","
' referring '

Is there anything else"
"18755","0","









"
"18766","0","









"
"18800","0","
""\{ """
"18845","1","
' созда '

Is there anything else"
"18870","0","```
ningning
ningning
ning"
"18878","0","
================================================================================================================================================"
"18910","1","^{-\ ^{-\ ^{-\ ^{-\ ^{-\ "
"18961","1","
```
чемпи
чемпи
"
"18977","1","
"" получи """
"19005","1","
' però '

Is there anything else"
"19008","0","









"
"19011","0","
***( ***( ***( ***( **"
"19037","1","
'öß öß öß öß "
"19052","1","
""--  --  --  -- "
"19057","1","
' років '

Is there anything else"
"19138","0","
```
nvnvnvnvnvnv"
"19143","0","
('(&#8216; '"
"19147","1","
'ність '

Is there anything else"
"19165","1","
üll üll üll üll üll"
"19171","1","
octobre
octobre
octobre
"
"19174","0","









"
"19193","0","
'_ _ _ _ _ _ _ _ _"
"19228","0","
""!""

"" """
"19250","0","
'/__/__/__/__"
"19254","1","
notations notations notations notations notations"
"19272","0","









"
"19320","1","
' ihrer '

Is there anything else"
"19330","0","
april
april
april
"
"19344","0","
decembre

Please let me know if"
"19349","0","
'шей '

Please let me know"
"19384","1","
ernesserness"
"19419","1","
quatre
quatre
quatre
"
"19448","0","
                                                                                                                                                "
"19467","0","
'Ich bin ein Berliner'"
"19476","1","
'чения '

Is there anything else"
"19487","1","
' её '

Is there anything else"
"19497","1","
'//! '

Is there anything"
"19519","0","









"
"19538","1","
importante
importante
importante
"
"19593","0","
"""">""

Is there anything else"
"19613","0","









"
"19636","1","
против
против
против
"
"19656","1","```
дела дела дела дела"
"19676","0","









"
"19693","1","
' début  début  début  début "
"19821","1","
'irable '

Is there anything else"
"19908","0","









"
"19957","0","
'чно '

Please let me know"
"19982","1","
ília ília ília ília ília"
"19990","0","









"
"19994","0","
/*

/*

/*

"
"20018","0","
""""""

"""""""
"20030","1","
' temporada '

Is there anything else"
"20035","0","









"
"20081","0","
""/ / / / / / / /"
"20085","0","
through through through through through through through through through"
"20089","0","









"
"20102","1","
' latach '

Is there anything else"
"20104","1","
националь

Please let me know if"
"20112","0","
'{$ '"
"20120","0","









"
"20158","1","
'évrier '

Please let me know"
"20160","0","
"""";

Please let me know if"
"20198","0","
' </ '

Is there anything else"
"20224","0","









"
"20237","0","









"
"20263","0","









"
"20292","0","
period period period period period period period period period"
"20299","0","









"
"20321","1","
'arono '

Is there anything else"
"20358","0","









"
"20402","1","
```
' août '
```"
"20411","0","
""<"""
"20431","0","









"
"20509","1","```
stellung 
stellung 
stellung"
"20540","1","
'emás '

Is there anything else"
"20546","1","
'ремен ремен ремен ремен "
"20560","0","









"
"20568","0","
))))))))))))))))))))))))))))))))))))"
"20572","1","```
 вико  вико  вико  вико"
"20580","1","
много

mного"
"20592","1","
дейдейдейдейдейдейдейдейдей"
"20597","0","
ieren ieren ieren ieren ieren"
"20607","0","









"
"20614","0","
""""""

"""""""
"20624","0","
```
њекадње
``"
"20644","1","```
 игра  игра  игра  игра"
"20652","0","
""; "";"
"20663","1","
' nelle '

Is there anything else"
"20692","0","









"
"20694","1","
"" *""

Is there anything else I"
"20720","0","```
                                                                                                                "
"20735","0","
)

And here is the code to"
"20768","1","
' також '

Is there anything else"
"20790","0","
« « « « « « « « «"
"20896","1","
' Станов '

Is there anything else"
"20905","1","
février
février
février
"
"20957","0","
nikon

nikon

nik"
"20959","0","
결과
결과
결과
"
"20960","0","
'}(\ '"
"21021","0","
"": """
"21037","0","
already already already already already already already already"
"21047","1","
""../../ """
"21074","0","
''''''''''''''''''"
"21082","1","
извест"
"21104","0","









"
"21143","1","
нок нок нок нок нок"
"21152","0","









"
"21168","0","









"
"21183","1","
'()] '

Is there anything else"
"21185","1","
'?( '"
"21195","0","
""тенто """
"21226","0","
                                                                                                                                                "
"21236","0","
'''

'''"
"21244","0","









"
"21259","1","









"
"21269","0","









"
"21307","1","
anos anos anos anos anos anos anos anos anos"
"21308","0","









"
"21324","1","
' altogether '

Is there anything else"
"21353","1","
'::{ '"
"21358","0","









"
"21371","0","









"
"21384","1","
>())

Is there anything else I"
"21386","1","
ifiable ifiable ifiable ifiable ifiable"
"21395","1","
'iß iß iß iß "
"21396","1","
junto
junto
junto
"
"21421","0","
(

(

(

"
"21577","0","









"
"21589","1","
помопомопомопомопо"
"21599","1","
*{ *"
"21609","0","









"
"21622","0","
'('

Is there anything else I"
"21686","0","
""{{ """
"21697","0","
'чего '

Please let me"
"21723","0","
прав

прав

прав

"
"21738","1","
ньо ньо ньо ньо ньо"
"21766","1","
цев цев цев цев цев"
"21770","0","









"
"21784","0","
""< """
"21816","1","
""( """
"21865","1","
""тали тали тали тали "
"21871","0","









"
"21888","0","









"
"21914","0","









"
"21999","0","
))))

Is there anything else I can"
"22020","1","
ляр ляр ляр ляр ляр"
"22053","0","
""; "";"
"22084","0","
"""">&"""
"22151","0","
```
Ціф
Ці"
"22164","1","
'arness '"
"22165","0","```
' že '
```"
"22186","0","









"
