"token_id","ok","text"
"19212","1","'IEW '"
"8139","1","' prime '"
"30292","1","そ そ そ"
"8639","1","' sav sav sav sav sav sav sav sav sav sav sav sav sav sav sav sav sav sav sav sav sav sav sav"
"23758","1","'PCM '"
"21495","1","' Buffer '"
"11174","1","'eno '"
"12326","1","Roll Roll Roll Roll Roll Roll Roll Roll Roll Roll Roll Roll Roll Roll Roll Roll Roll Roll Roll Roll Roll Roll Roll Roll"
"4364","1","'partial '"
"28600","1","' buffers '"
"15650","1","' Priv '"
"11552","1","'izable '"
"31604","1","'ಠ ಠ '."
"23288","1","' qued '"
"22556","1","'чат '"
"18493","1","' ud '"
"26743","1","' mise '"
"3607","1","' limit '"
"29413","1","'► ► ► '"
"2472","1","'Class '"
"9119","1","' egg '"
"28351","1","' ал '."
"28346","1","'ituted '"
"26335","1","'arians '"
"461","1","' j '"
"13640","1","' objective '"
"19919","1","'Rather '."
"28994","1","'： '"
"20922","1","' consisting '"
"25816","1","'Dependency '"
"16432","1","' pelo '"
"25116","1","' Outside '"
"3520","1","'ham '"
"16823","1","' instinct '"
"11751","1","'ád ád '"
"15058","1","'timestamp '"
"5967","1","' finished '"
"16836","1","'olas '"
"27707","1","' peripher peripher peripher peripher peripher peripher peripher peripher peripher peripher peripher peripher peripher peripher peripher peripher peripher peripher peripher peripher peripher peripher peripher"
"9199","1","' Spring '"
"8324","1","' discovered '"
"18461","1","'Sal Sal Sal Sal Sal Sal Sal Sal Sal Sal Sal Sal Sal Sal Sal Sal Sal Sal Sal Sal Sal Sal Sal"
"24558","1","dia dia dia dia dia dia dia dia dia dia dia dia dia dia dia dia dia dia dia dia dia dia dia dia"
"12406","1","' ""* '"
"26276","1","'ikh '"
"12715","1","'verb '"
"31863","1","Մ Մ Մ Մ Մ Մ Մ Մ Մ Մ Մ Մ"
"6283","1","'ischer '"
"17049","1","' ster ster ster ster ster ster ster ster ster ster ster ster ster ster ster ster ster ster ster ster ster ster ster"
"27344","1","'solid solid solid solid solid solid solid solid solid solid solid solid solid solid solid solid solid solid solid solid solid solid solid"
"4856","1","nach nach nach nach nach nach nach nach nach nach nach nach nach nach nach nach nach nach nach nach nach nach nach nach"
"19881","1","'XFF '"
"19551","1","' Either '"
"15979","1","'noc '"
"20977","1","'Mitglied '"
"25089","1","' Население '"
"10780","1","' все '."
"16302","1","'iere ire ire '"
"8781","1","'Print '"
"16038","1","conservative conservative conservative conservative conservative conservative conservative conservative conservative conservative conservative conservative conservative conservative conservative conservative conservative conservative conservative conservative conservative conservative conservative conservative"
"19802","1","' moy '"
"28826","1","'ч '"
"8104","1","'мя '"
"21147","1","' affection '"
"10994","1","' Ö '."
"27379","1","' stance '"
"394","1","' W W W W W W W W W W W W W W W W W W W W W W W"
"2389","1","' job '"
"6694","1","' investig '"
"12912","1","'zw '"
"17485","1","'rtc rtc rtc'"
"31895","1","❍ ❍ ❍ ❍ ❍ ❍ ❍ ❍ ❍ ❍ ❍ ❍"
"674","1","'form '"
"11433","1","' adj '"
"6948","1","' requires '"
"2593","1","'хо хо хо'"
"12565","1","' faced '"
"4292","1","' member '"
"19905","1","' centro '"
"28641","1","'Mc '"
"16889","1","'acco '"
"22404","1","' Ord '"
"18127","1","Activ Activ Activ Activ Activ Activ Activ Activ Activ Activ Activ Activ Activ Activ Activ Activ Activ Activ Activ Activ Activ Activ Activ Activ"
"14573","1","' functional '"
"9417","1","'eren eren eren eren eren eren eren eren eren eren eren eren"
"23172","1","' Cz '"
"14867","1","'uis uis uis uis'"
"19371","1","'ateurs '"
"6244","1","'etime '"
"30324","1","牌 牌 牌 牌 牌 牌 牌 牌 牌 牌 牌 牌"
"19515","1","' sd '"
"7228","1","' maximum '"
"10159","1","' queue '"
"6562","1","'second second '"
"8898","1","'obe obe obe obe obe obe obe obe obe obe obe obe"
"18815","1","kommun"
"26282","1","'itr '"
"9099","1","' Sud '"
"17382","1","'colo '"
"25579","1","' Mama '"
"12948","1","' Prom '"
"24062","1","' Jessica '"
"10796","1","'ibilities '"
"14382","1","' spoken '"
"2664","1","' soft '"
"17406","1","' Chile '"
"23390","1","' clo '"
"7570","1","Enc Enc Enc"
"12659","1","'Hz '"
"7410","1","'lict '"
"31847","0","ן ן ן ן ן ן ן ן ן ן ן ן"
"22831","1","' vessels '"
"8832","1","'hav hav hav hav hav hav hav hav hav hav hav hav hav hav hav hav hav hav hav hav hav hav hav"
"29671","1","स स स स स स स स स स स स"
"27012","1","' siendo '"
"28953","1","'ı ı ı '"
"5021","1","PORT PORT PORT PORT PORT PORT PORT PORT PORT PORT PORT PORT PORT PORT PORT PORT PORT PORT PORT PORT PORT PORT PORT PORT"
"23646","1","' registry '"
"17860","1","' Past '"
"6555","1","' adult '"
"28667","1","' села '."
"17410","1","'Dez Dez Dez Dez Dez Dez Dez Dez Dez Dez Dez De"
"17091","1","' Students '"
