"token_id","ok","text"
"13","0","' '"
"259","1","'   '"
"414","1","'\ '"
"464","1","' ' '"
"743","1","')))) '"
"1041","0","""; "";"
"1090","1","')); '"
"1211","0","'$ $'"
"1243","0",""""""""
"1302","1","'  '"
"1355","1","""""> """
"1400","0","'{ }'"
"1481","0","'''"
"1599","0",""""""""
"1657","1","'()); '"
"1815","1","'.' ' '"
"2063","1","'., '"
"2207","1","''); '"
"2242","1","""""] """
"2322","1","')$ '"
"2720","1","'""/> '"
"2764","1","' space '"
"3350","1","' wurde '"
"3460","1","')} '"
"3548","1","""""), """
"3759","1","']); '"
"4145","0","""""."
"4420","0","'(()';"
"4490","0","'{ '"
"4532","0","''."
"4753","1","')] '"
"4829","1","''), '"
"4948","0","')))) '"
"5070","0","'$, '"
"5124","0","'$$. '"
"5341","0","""""))"";"
"5429","1","')))) '"
"5521","1","' году '."
"5807","1","'], '"
"5828","1","'""></ '"
"6543","0","' что '."
"6564","0","']] '"
"6994","0","''), '"
"7166","1","été été été été"
"7218","0","')))) '"
"7239","0","'$. '"
"7339","1","' року '"
"7357","1","'ется '"
"7574","0","')))) '"
"7608","0","''"
"7685","1","""$ $"
"7704","1","""=""../ """
"7706","1","""}, '"
"7897","1","'einen'."
"8100","1","')))) '"
"8112","0","'$$$'"
"8158","1","'ème '"
"8698","0","')))) '"
"8757","0","''' '''"
"8797","0","'))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))"
"8846","0","'  '"
"8883","1","""], """
"8991","1","'=$ '"
"9031","1","' wurden '"
"9079","1","'()). '"
"9153","0","'''';"
"9191","0",""". '"
"9205","1","']} '"
"9340","0","')$ '"
"9412","0","'}{ '"
"9765","0","../../"
"9823","0","' '"
"9859","0","')))) '"
"10266","0","'?'"
"10530","1","' franç '"
"10592","0","""\ """
"10647","1",""")"", '"
"10744","1","' waren '"
"10781","1","'}}, '"
"10908","0","'[ '"
"10941","0","')))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))"
"11084","1","' нача '"
"11168","0","'(), '"
"11169","1","' ingår '."
"11292","1","'краї '"
"11298","0","'welche'"
"11339","1","'}' '"
"11501","0","'))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))"
"11544","1","'){\ '"
"11718","0","'iele '"
"11789","0","']]', ']]', ']]', ']]', ']]', ']]', ']]', ']]',"
"11840","1","')? '"
"11847","1","' familjen '."
"11880","0","'';"
"11922","0","')))) '"
"11996","1","'$$) '"
"12159","1",""")"" """
"12251","1","'ября '"
"12281","1","' состав '."
"12900","1","'}}( '"
"12941","0","'))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))"
"13007","0","'..'"
"13023","1","' cual '"
"13137","0","'Є Є Є Є Є Є Є Є Є Є Є Є Є Є Є Є Є Є Є Є Є Є Є"
"13348","1","' worden '."
"13394","0","""}, '"
"13601","0","'][[ '"
"13717","1","siècle"
"13928","0","''); '"
"13932","0","'']; '"
"13961","1","'кого '"
"14052","0","'템플릿'"
"14067","0","' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' '"
"14102","1","' première '."
"14137","0","'iju '"
"14159","1","' райо '."
"14299","1","' français '"
"14420","0","'#####'"
"14439","0","'., '"
"14442","1","')}{ '"
"14491","0","''''"
"14544","1","'ieurs '"
"14588","0","""; "";"
"14668","1","'))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))"
"14674","0","'$ $'"
"14810","1","')}, '"
"15056","0","'()))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))"
"15191","0","'$ - $'"
"15246","0","' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' '"
"15254","0","""""."
"15391","0","' ), '"
"15581","0","' COPYRIGHT '"
"15630","0","'REQUIRED '"
"15758","0","'  '"
"15795","1","'ские '"
"15835","1",""" ""../ """
"16016","1","')}$ '"
"16041","1","'}, '"
"16154","1","' jedoch '."
"16207","0","'нова'"
"16433","0","')))) '"
"16523","1","' puede '"
"16629","1","' тако '."
"16646","1","""\ """
"16680","0","' THIS IS A TEST '"
"16810","1","' основ '."
"16871","1","'телей '"
"16943","0","'))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))"
"16949","0","""\"" \"" \"" \"" \"" \"" \"" \"" \"" \"" \"" \"" \"" \"" \"" \"" \"" \"" \"" \"" \"" \"" \"""
"17006","0","'}{ '"
"17071","1","' plusieurs '"
"17134","1","'igkeit '"
"17169","0",""". ."""
"17195","1","' США '"
"17375","1","' университе '"
"17395","0","'"""""" '"
"17695","1","'},{, '"
"17779","0","'ublice  publique'"
"17803","1","'ième '"
"17927","0","')). '"
"18055","0","'{ '"
"18073","0","'"""""" '"
"18277","1","'ivamente '"
"18364","1","')-> '"
"18437","1","'{'} '"
"18490","0","'); '"
"18614","1","' година '."
"18699","0","'erenenerenenerenenerenenerenenerenenerenenerenenerenenerenenereneneren"
"18759","1","';'"
"18800","1","'\\}'"
"19057","1","' років '."
"19059","1","' konnte '"
"19088","0","'geben'"
"19538","1","' importante '"
"19676","1","' который '."
"19766","1","' können '"
"19856","1","' befind '"
"19990","1","' составля '."
"20089","0","')( '"
"20158","1","'évrier '"
"20237","0","' ''' '"
"20263","1",""" "")"
"20431","1","')_{ '"
"20474","1","')){ '"
"20572","1","' вико '."
"20607","0","' efter '"
"20624","0","'њењење '"
"20652","0","""""]"""
"20678","0","'через'."
"20720","0","'дела'."
"20885","1","' während '"
"20959","0","'결과'"
"20992","0","""{ ""[ """
"21021","0",""""": """
"21037","0","'already'."
"21160","0","人口"
"21328","1","'eerste'"
"21340","1","' къ '."
"21577","1","'[]) '"
"21697","0","'чего '"
"21770","1","' міс '"
"21801","1","' française '"
"21989","0","'beknown'."
"22030","1","'owego '"
"22053","0",""""";"
"22151","1","'ців '"
"22224","0","'Украина'."
"22243","1","' района '."
"22283","0","' sept '."
"22296","1","' nationale '"
"22298","0","'$$- '"
"22307","1","' miejsce '"
"22318","1","')))) '"
"22375","0","'              '"
"22566","1","'iveau '"
"22680","0","' него '."
"22681","0","'yczный '"
"22825","1","ország ország ország"
